Model,Type of questions,Accuracy1 (for present questions),Accuracy2 (for all questions),No words in vocabulary,Number of questions,Number of present questions
fiction_lowercased_tokenized_300d,past,18.641975308641975,13.86593204775023,,1089.0,810.0
fiction_lowercased_tokenized_300d,country-nationality,0.0,0.0,,10359.0,95.0
fiction_lowercased_tokenized_300d,comparative,2.5,1.5,,400.0,240.0
fiction_lowercased_tokenized_300d,adjective-adverb,2.1164021164021163,1.664932362122789,,961.0,756.0
fiction_lowercased_tokenized_300d,opposite,4.0,0.96,,625.0,150.0
fiction_lowercased_tokenized_300d,verb,27.839999999999996,22.1656050955414,,785.0,625.0
fiction_lowercased_tokenized_300d,country-capital,,,+,4271.0,0.0
fiction_lowercased_tokenized_300d,family,23.684210526315788,20.25,,400.0,342.0
fiction_lowercased_tokenized_300d,country-region,,,+,2038.0,0.0
fiction_lowercased_tokenized_300d,currency,,,+,729.0,0.0
fiction_lowercased_tokenized_300d,singular-plural,3.4274193548387095,2.7755102040816326,,1225.0,992.0
fiction_lowercased_tokenized_300d,supperlative,0.7575757575757576,0.27548209366391185,,1089.0,396.0
fiction_lowercased_tokenized_300d,all,10.689968225147526,1.9648742230194818,,23971.0,4406.0
fiction_cased_tokenized_word2vec_300d,past,42.34567901234568,31.496786042240586,,1089.0,810.0
fiction_cased_tokenized_word2vec_300d,country-nationality,5.594405594405594,0.07722753161502076,,10359.0,143.0
fiction_cased_tokenized_word2vec_300d,comparative,7.916666666666666,4.75,,400.0,240.0
fiction_cased_tokenized_word2vec_300d,adjective-adverb,3.076923076923077,2.081165452653486,,961.0,650.0
fiction_cased_tokenized_word2vec_300d,opposite,5.714285714285714,1.28,,625.0,140.0
fiction_cased_tokenized_word2vec_300d,verb,53.28000000000001,42.4203821656051,,785.0,625.0
fiction_cased_tokenized_word2vec_300d,country-capital,0.0,0.0,,4271.0,68.0
fiction_cased_tokenized_word2vec_300d,family,29.53216374269006,25.25,,400.0,342.0
fiction_cased_tokenized_word2vec_300d,country-region,0.0,0.0,,2038.0,44.0
fiction_cased_tokenized_word2vec_300d,currency,0.0,0.0,,729.0,21.0
fiction_cased_tokenized_word2vec_300d,singular-plural,15.221774193548388,12.326530612244897,,1225.0,992.0
fiction_cased_tokenized_word2vec_300d,supperlative,1.5151515151515151,0.5509641873278237,,1089.0,396.0
fiction_cased_tokenized_word2vec_300d,all,22.120331022142697,4.1258186975929245,,23971.0,4471.0
fiction_lowercased_tokenized_word2vec_300d,past,39.75308641975309,29.56841138659321,,1089.0,810.0
fiction_lowercased_tokenized_word2vec_300d,country-nationality,4.2105263157894735,0.03861376580751038,,10359.0,95.0
fiction_lowercased_tokenized_word2vec_300d,comparative,8.75,5.25,,400.0,240.0
fiction_lowercased_tokenized_word2vec_300d,adjective-adverb,3.968253968253968,3.1217481789802286,,961.0,756.0
fiction_lowercased_tokenized_word2vec_300d,opposite,6.0,1.44,,625.0,150.0
fiction_lowercased_tokenized_word2vec_300d,verb,51.2,40.76433121019109,,785.0,625.0
fiction_lowercased_tokenized_word2vec_300d,country-capital,,,+,4271.0,0.0
fiction_lowercased_tokenized_word2vec_300d,family,31.28654970760234,26.75,,400.0,342.0
fiction_lowercased_tokenized_word2vec_300d,country-region,,,+,2038.0,0.0
fiction_lowercased_tokenized_word2vec_300d,currency,,,+,729.0,0.0
fiction_lowercased_tokenized_word2vec_300d,singular-plural,9.475806451612904,7.673469387755103,,1225.0,992.0
fiction_lowercased_tokenized_word2vec_300d,supperlative,1.0101010101010102,0.3673094582185491,,1089.0,396.0
fiction_lowercased_tokenized_word2vec_300d,all,20.67635043123014,3.8004255141629466,,23971.0,4406.0
fiction_lowercased_lemmatized_300d,past,,,+,1089.0,0.0
fiction_lowercased_lemmatized_300d,country-nationality,2.7027027027027026,0.028960324355632783,,10359.0,111.0
fiction_lowercased_lemmatized_300d,comparative,19.25,19.25,,400.0,400.0
fiction_lowercased_lemmatized_300d,adjective-adverb,9.655172413793103,7.284079084287201,,961.0,725.0
fiction_lowercased_lemmatized_300d,opposite,5.128205128205128,0.96,,625.0,117.0
fiction_lowercased_lemmatized_300d,verb,,,+,785.0,0.0
fiction_lowercased_lemmatized_300d,country-capital,,,+,4271.0,0.0
fiction_lowercased_lemmatized_300d,family,44.73684210526316,34.0,,400.0,304.0
fiction_lowercased_lemmatized_300d,country-region,,,+,2038.0,0.0
fiction_lowercased_lemmatized_300d,currency,,,+,729.0,0.0
fiction_lowercased_lemmatized_300d,singular-plural,2.941176470588235,0.163265306122449,,1225.0,68.0
fiction_lowercased_lemmatized_300d,supperlative,7.575757575757576,5.968778696051423,,1089.0,858.0
fiction_lowercased_lemmatized_300d,all,13.89856755710414,1.4976429852738726,,23971.0,2583.0
fiction_lowercased_lemmatized_word2vec_300d,past,,,+,1089.0,0.0
fiction_lowercased_lemmatized_word2vec_300d,country-nationality,9.90990990990991,0.10618785597065353,,10359.0,111.0
fiction_lowercased_lemmatized_word2vec_300d,comparative,52.25,52.25,,400.0,400.0
fiction_lowercased_lemmatized_word2vec_300d,adjective-adverb,22.06896551724138,16.64932362122789,,961.0,725.0
fiction_lowercased_lemmatized_word2vec_300d,opposite,10.256410256410255,1.92,,625.0,117.0
fiction_lowercased_lemmatized_word2vec_300d,verb,,,+,785.0,0.0
fiction_lowercased_lemmatized_word2vec_300d,country-capital,,,+,4271.0,0.0
fiction_lowercased_lemmatized_word2vec_300d,family,48.026315789473685,36.5,,400.0,304.0
fiction_lowercased_lemmatized_word2vec_300d,country-region,,,+,2038.0,0.0
fiction_lowercased_lemmatized_word2vec_300d,currency,,,+,729.0,0.0
fiction_lowercased_lemmatized_word2vec_300d,singular-plural,2.941176470588235,0.163265306122449,,1225.0,68.0
fiction_lowercased_lemmatized_word2vec_300d,supperlative,8.041958041958042,6.336088154269973,,1089.0,858.0
fiction_lowercased_lemmatized_word2vec_300d,all,23.577235772357724,2.5405698552417504,,23971.0,2583.0
fiction_cased_lemmatized_300d,past,,,+,1089.0,0.0
fiction_cased_lemmatized_300d,country-nationality,3.625377643504532,0.11584129742253113,,10359.0,331.0
fiction_cased_lemmatized_300d,comparative,28.499999999999996,28.499999999999996,,400.0,400.0
fiction_cased_lemmatized_300d,adjective-adverb,6.620689655172414,4.994797086368366,,961.0,725.0
fiction_cased_lemmatized_300d,opposite,3.418803418803419,0.64,,625.0,117.0
fiction_cased_lemmatized_300d,verb,,,+,785.0,0.0
fiction_cased_lemmatized_300d,country-capital,1.951219512195122,0.09365488176071178,,4271.0,205.0
fiction_cased_lemmatized_300d,family,39.80263157894737,30.25,,400.0,304.0
fiction_cased_lemmatized_300d,country-region,2.727272727272727,0.2944062806673209,,2038.0,220.0
fiction_cased_lemmatized_300d,currency,2.5,0.5486968449931412,,729.0,160.0
fiction_cased_lemmatized_300d,singular-plural,2.941176470588235,0.163265306122449,,1225.0,68.0
fiction_cased_lemmatized_300d,supperlative,10.722610722610723,8.44811753902663,,1089.0,858.0
fiction_cased_lemmatized_300d,all,12.012987012987013,1.697884944307705,,23971.0,3388.0
