Model,Type of questions,Accuracy1 (for present questions),Accuracy2 (for all questions),No words in vocabulary,Number of questions,Number of present questions
ubercorpus_lowercased_tokenized_word2vec_300d,all,47.55244755244755,15.60218597471945,,23971.0,7865.0
ubercorpus_cased_tokenized_300d,past,74.43181818181817,72.1763085399449,,1089.0,1056.0
ubercorpus_cased_tokenized_300d,country-nationality,25.844594594594593,8.861859252823631,,10359.0,3552.0
ubercorpus_cased_tokenized_300d,comparative,41.47058823529412,35.25,,400.0,340.0
ubercorpus_cased_tokenized_300d,adjective-adverb,31.222222222222225,29.240374609781476,,961.0,900.0
ubercorpus_cased_tokenized_300d,opposite,26.041666666666668,20.0,,625.0,480.0
ubercorpus_cased_tokenized_300d,verb,78.95408163265306,78.85350318471338,,785.0,784.0
ubercorpus_cased_tokenized_300d,country-capital,25.816752640628838,24.60782018262702,,4271.0,4071.0
ubercorpus_cased_tokenized_300d,family,62.25000000000001,62.25000000000001,,400.0,400.0
ubercorpus_cased_tokenized_300d,country-region,47.832585949177876,47.10500490677135,,2038.0,2007.0
ubercorpus_cased_tokenized_300d,currency,15.488215488215488,12.620027434842248,,729.0,594.0
ubercorpus_cased_tokenized_300d,singular-plural,54.53061224489796,54.53061224489796,,1225.0,1225.0
ubercorpus_cased_tokenized_300d,supperlative,21.525600835945664,18.91643709825528,,1089.0,957.0
ubercorpus_cased_tokenized_300d,all,37.24795307344495,25.43072879729673,,23971.0,16366.0
ubercorpus_cased_lemmatized_word2vec_300d,past,,,+,1089.0,0.0
ubercorpus_cased_lemmatized_word2vec_300d,country-nationality,49.34597776324395,14.567043150883292,,10359.0,3058.0
ubercorpus_cased_lemmatized_word2vec_300d,comparative,66.0,66.0,,400.0,400.0
ubercorpus_cased_lemmatized_word2vec_300d,adjective-adverb,47.052280311457174,44.01664932362122,,961.0,899.0
ubercorpus_cased_lemmatized_word2vec_300d,opposite,36.36363636363637,24.32,,625.0,418.0
ubercorpus_cased_lemmatized_word2vec_300d,verb,,,+,785.0,0.0
ubercorpus_cased_lemmatized_word2vec_300d,country-capital,43.869684158169605,41.3018028564739,,4271.0,4021.0
ubercorpus_cased_lemmatized_word2vec_300d,family,62.538699690402474,50.5,,400.0,323.0
ubercorpus_cased_lemmatized_word2vec_300d,country-region,56.35276532137519,55.49558390578999,,2038.0,2007.0
ubercorpus_cased_lemmatized_word2vec_300d,currency,26.599326599326602,21.67352537722908,,729.0,594.0
ubercorpus_cased_lemmatized_word2vec_300d,singular-plural,1.4285714285714286,0.0816326530612245,,1225.0,70.0
ubercorpus_cased_lemmatized_word2vec_300d,supperlative,67.42424242424242,65.38108356290174,,1089.0,1056.0
ubercorpus_cased_lemmatized_word2vec_300d,all,49.16705589288494,26.348504442868464,,23971.0,12846.0
